,Idade,Demissão,Viagem de negócios,Diárias recebidas,Departamento,Distância de Casa,Escolaridade,Área de Formação,Número de contratos de trabalho na empresa,ID Funcionário,Nível de Satisfação com o ambiente de trabalho,Gênero,Salário por hora,Nível de envolvimento com o trabalho,Nível hierárquico,Cargo,Satisfação com o trabalho,Estado civil,Renda mensal,Salário Mensal,qtde de empresas que já trabalhou,Maior de idade,Faz hora extra,percentual de aumento de salário,score de performance,Satisfação nas relações Não trabalho,Jornada padrão de trabalho,opção de remaunração variável em ações,Total de anos trabalhados,Qtde de treinamentos realizados no último ano,Equilíbrio vida trabalho,Total de anos trabalhados na empresa,Anos trabalhados na função atual,Anos desde a última promoção,Anos trabalhando com o atual gestor
0,41,Sim,Viaja raramente,1102,Vendas,1,2,Ciências Humanas,1,1,2,Feminino,94,3,2,Executivo de vendas,4,Solteiro,5993,19479,8,Sim,Sim,11,3,1,80,0,8,0,1,6,4,0,5
1,37,Sim,Viaja raramente,1373,Pesquisa e Desenvolvimento,2,2,Outras,1,4,4,Masculino,92,2,1,Técnico de Laboratório,3,Solteiro,2090,2396,6,Sim,Sim,15,3,2,80,0,7,3,3,0,0,0,0
2,33,Não,Viaja frequentemente,1392,Pesquisa e Desenvolvimento,3,4,Ciências Humanas,1,5,4,Feminino,56,3,1,Pesquisador cientista,3,Casado,2909,23159,1,Sim,Sim,11,3,3,80,0,8,3,3,8,7,3,0
3,59,Não,Viaja raramente,1324,Pesquisa e Desenvolvimento,3,3,Ciências Médicas,1,10,3,Feminino,81,4,1,Técnico de Laboratório,1,Casado,2670,9964,4,Sim,Sim,20,4,1,80,3,12,3,2,1,0,0,0
4,29,Não,Viaja raramente,153,Pesquisa e Desenvolvimento,15,2,Ciências Humanas,1,15,4,Feminino,49,2,2,Técnico de Laboratório,3,Solteiro,4193,12682,0,Sim,Sim,12,3,4,80,0,10,3,3,9,5,0,8
5,28,Sim,Viaja raramente,103,Pesquisa e Desenvolvimento,24,3,Ciências Humanas,1,19,3,Masculino,93,2,1,Técnico de Laboratório,3,Solteiro,2028,12947,5,Sim,Sim,14,3,2,80,0,6,4,3,4,2,0,3
6,32,Não,Viaja raramente,334,Pesquisa e Desenvolvimento,5,2,Ciências Humanas,1,21,1,Masculino,80,4,1,Pesquisador cientista,2,Divorciado,3298,15053,0,Sim,Sim,12,3,4,80,2,7,5,2,6,2,0,5
7,22,Não,Não Viaja,1123,Pesquisa e Desenvolvimento,16,2,Ciências Médicas,1,22,4,Masculino,96,4,1,Técnico de Laboratório,4,Divorciado,2935,7324,1,Sim,Sim,13,3,2,80,2,1,2,2,1,0,0,0
8,38,Não,Viaja raramente,371,Pesquisa e Desenvolvimento,2,3,Ciências Humanas,1,24,4,Masculino,45,3,1,Pesquisador cientista,4,Solteiro,3944,4306,5,Sim,Sim,11,3,3,80,0,6,3,3,3,2,1,2
9,32,Sim,Viaja frequentemente,1125,Pesquisa e Desenvolvimento,16,1,Ciências Humanas,1,33,2,Feminino,72,1,1,Pesquisador cientista,1,Solteiro,3919,4681,1,Sim,Sim,22,4,2,80,0,10,5,3,10,2,6,7
10,44,Não,Viaja raramente,1459,Pesquisa e Desenvolvimento,10,4,Outras,1,40,4,Masculino,41,3,2,Reprentante de saúde,4,Casado,6465,19121,2,Sim,Sim,13,3,4,80,0,9,5,4,4,2,1,3
11,24,Sim,Viaja raramente,813,Pesquisa e Desenvolvimento,1,3,Ciências Médicas,1,45,2,Masculino,61,3,1,Pesquisador cientista,4,Casado,2293,3020,2,Sim,Sim,16,3,1,80,1,6,2,2,2,0,2,0
12,50,Sim,Viaja raramente,869,Vendas,3,2,Marketing,1,47,1,Masculino,86,2,1,Representante de vendas,3,Casado,2683,3810,1,Sim,Sim,14,3,3,80,0,3,2,3,3,2,0,2
13,36,Não,Viaja raramente,852,Pesquisa e Desenvolvimento,5,4,Ciências Humanas,1,51,2,Feminino,82,2,1,Pesquisador cientista,1,Casado,3419,13072,9,Sim,Sim,14,3,4,80,1,6,3,4,1,1,0,0
14,46,Não,Viaja frequentemente,1211,Vendas,5,4,Marketing,1,62,1,Masculino,98,3,2,Executivo de vendas,4,Solteiro,5772,20445,4,Sim,Sim,21,4,3,80,0,14,4,3,9,6,0,8
15,48,Sim,Viaja raramente,626,Pesquisa e Desenvolvimento,1,2,Ciências Humanas,1,64,1,Masculino,98,2,3,Técnico de Laboratório,3,Solteiro,5381,19294,9,Sim,Sim,13,3,4,80,0,23,2,3,1,0,0,0
16,28,Sim,Viaja raramente,1434,Pesquisa e Desenvolvimento,5,4,EnsiNão técnico,1,65,3,Masculino,50,3,1,Técnico de Laboratório,3,Solteiro,3441,11179,1,Sim,Sim,13,3,3,80,0,2,3,2,2,2,2,2
17,44,Não,Viaja raramente,1488,Vendas,1,5,Marketing,1,68,2,Feminino,75,3,2,Executivo de vendas,1,Divorciado,5454,4009,5,Sim,Sim,21,4,3,80,1,9,2,2,4,3,1,3
18,35,Não,Não Viaja,1097,Pesquisa e Desenvolvimento,11,2,Ciências Médicas,1,70,3,Masculino,79,2,3,Reprentante de saúde,1,Casado,9884,8302,2,Sim,Sim,13,3,3,80,1,10,3,3,4,0,2,3
19,26,Não,Viaja raramente,1443,Vendas,23,3,Marketing,1,72,3,Feminino,47,2,2,Executivo de vendas,4,Casado,4157,21436,7,Sim,Sim,19,3,3,80,1,5,2,2,2,2,0,0
20,33,Não,Viaja frequentemente,515,Pesquisa e Desenvolvimento,1,2,Ciências Humanas,1,73,1,Feminino,98,3,3,Diretor de pesquisa,4,Solteiro,13458,15146,1,Sim,Sim,12,3,3,80,0,15,1,3,15,14,8,12
21,35,Não,Viaja raramente,1142,Pesquisa e Desenvolvimento,23,4,Ciências Médicas,1,75,3,Feminino,30,3,1,Técnico de Laboratório,1,Casado,4014,16002,3,Sim,Sim,15,3,3,80,1,4,3,3,2,2,2,2
22,32,Não,Viaja raramente,427,Pesquisa e Desenvolvimento,1,3,Ciências Médicas,1,78,1,Masculino,33,3,2,Diretor de manufatura,4,Casado,6162,10877,1,Sim,Sim,22,4,2,80,1,9,3,3,9,8,7,8
23,50,Não,Viaja raramente,989,Pesquisa e Desenvolvimento,7,2,Ciências Médicas,1,80,2,Feminino,43,2,5,Diretor de pesquisa,3,Divorciado,18740,16701,5,Sim,Sim,12,3,4,80,1,29,2,2,27,3,13,8
24,55,Não,Viaja raramente,836,Pesquisa e Desenvolvimento,8,3,Ciências Médicas,1,84,4,Feminino,33,3,4,Gerente,3,Divorciado,14756,19730,2,Sim,Sim,14,3,3,80,3,21,2,3,5,0,0,2
