,Idade,Demissão,Viagem de negócios,Diárias recebidas,Departamento,Distância de Casa,Escolaridade,Área de Formação,Número de contratos de trabalho na empresa,ID Funcionário,Nível de Satisfação com o ambiente de trabalho,Gênero,Salário por hora,Nível de envolvimento com o trabalho,Nível hierárquico,Cargo,Satisfação com o trabalho,Estado civil,Renda mensal,Salário Mensal,qtde de empresas que já trabalhou,Maior de idade,Faz hora extra,percentual de aumento de salário,score de performance,Satisfação nas relações Não trabalho,Jornada padrão de trabalho,opção de remaunração variável em ações,Total de anos trabalhados,Qtde de treinamentos realizados no último ano,Equilíbrio vida trabalho,Total de anos trabalhados na empresa,Anos trabalhados na função atual,Anos desde a última promoção,Anos trabalhando com o atual gestor
0,41,Sim,Viaja raramente,1102,Vendas,1,2,Ciências Humanas,1,1,2,Feminino,94,3,2,Executivo de vendas,4,Solteiro,5993,19479,8,Sim,Sim,11,3,1,80,0,8,0,1,6,4,0,5
1,49,Não,Viaja frequentemente,279,Pesquisa e Desenvolvimento,8,1,Ciências Humanas,1,2,3,Masculino,61,2,2,Pesquisador cientista,2,Casado,5130,24907,1,Sim,Não,23,4,4,80,1,10,3,3,10,7,1,7
2,37,Sim,Viaja raramente,1373,Pesquisa e Desenvolvimento,2,2,Outras,1,4,4,Masculino,92,2,1,Técnico de Laboratório,3,Solteiro,2090,2396,6,Sim,Sim,15,3,2,80,0,7,3,3,0,0,0,0
3,33,Não,Viaja frequentemente,1392,Pesquisa e Desenvolvimento,3,4,Ciências Humanas,1,5,4,Feminino,56,3,1,Pesquisador cientista,3,Casado,2909,23159,1,Sim,Sim,11,3,3,80,0,8,3,3,8,7,3,0
4,32,Não,Viaja frequentemente,1005,Pesquisa e Desenvolvimento,2,2,Ciências Humanas,1,8,4,Masculino,79,3,1,Técnico de Laboratório,4,Solteiro,3068,11864,0,Sim,Não,13,3,3,80,0,8,2,2,7,7,3,6
5,59,Não,Viaja raramente,1324,Pesquisa e Desenvolvimento,3,3,Ciências Médicas,1,10,3,Feminino,81,4,1,Técnico de Laboratório,1,Casado,2670,9964,4,Sim,Sim,20,4,1,80,3,12,3,2,1,0,0,0
6,38,Não,Viaja frequentemente,216,Pesquisa e Desenvolvimento,23,3,Ciências Humanas,1,12,4,Masculino,44,2,3,Diretor de manufatura,3,Solteiro,9526,8787,0,Sim,Não,21,4,2,80,0,10,2,3,9,7,1,8
7,36,Não,Viaja raramente,1299,Pesquisa e Desenvolvimento,27,3,Ciências Médicas,1,13,3,Masculino,94,3,2,Reprentante de saúde,3,Casado,5237,16577,6,Sim,Não,13,3,2,80,2,17,3,2,7,7,7,7
8,35,Não,Viaja raramente,809,Pesquisa e Desenvolvimento,16,3,Ciências Médicas,1,14,1,Masculino,84,4,1,Técnico de Laboratório,2,Casado,2426,16479,0,Sim,Não,13,3,3,80,1,6,5,3,5,4,0,3
9,31,Não,Viaja raramente,670,Pesquisa e Desenvolvimento,26,1,Ciências Humanas,1,16,1,Masculino,31,3,1,Pesquisador cientista,3,Divorciado,2911,15170,1,Sim,Não,17,3,4,80,1,5,1,2,5,2,4,3
