,Idade,Demissão,Viagem de negócios,Diárias recebidas,Departamento,Distância de Casa,Escolaridade,Área de Formação,Número de contratos de trabalho na empresa,ID Funcionário,Nível de Satisfação com o ambiente de trabalho,Gênero,Salário por hora,Nível de envolvimento com o trabalho,Nível hierárquico,Cargo,Satisfação com o trabalho,Estado civil,Renda mensal,Salário Mensal,qtde de empresas que já trabalhou,Maior de idade,Faz hora extra,percentual de aumento de salário,score de performance,Satisfação nas relações Não trabalho,Jornada padrão de trabalho,opção de remaunração variável em ações,Total de anos trabalhados,Qtde de treinamentos realizados no último ano,Equilíbrio vida trabalho,Total de anos trabalhados na empresa,Anos trabalhados na função atual,Anos desde a última promoção,Anos trabalhando com o atual gestor
0,49,Não,Viaja frequentemente,279,Pesquisa e Desenvolvimento,8,1,Ciências Humanas,1,2,3,Masculino,61,2,2,Pesquisador cientista,2,Casado,5130,24907,1,Sim,Não,23,4,4,80,1,10,3,3,10,7,1,7
1,30,Não,Viaja raramente,1358,Pesquisa e Desenvolvimento,24,1,Ciências Humanas,1,11,4,Masculino,67,3,1,Técnico de Laboratório,3,Divorciado,2693,13335,1,Sim,Não,22,4,2,80,1,1,2,3,1,0,0,0
2,38,Não,Viaja frequentemente,216,Pesquisa e Desenvolvimento,23,3,Ciências Humanas,1,12,4,Masculino,44,2,3,Diretor de manufatura,3,Solteiro,9526,8787,0,Sim,Não,21,4,2,80,0,10,2,3,9,7,1,8
3,36,Não,Viaja raramente,1299,Pesquisa e Desenvolvimento,27,3,Ciências Médicas,1,13,3,Masculino,94,3,2,Reprentante de saúde,3,Casado,5237,16577,6,Sim,Não,13,3,2,80,2,17,3,2,7,7,7,7
4,35,Não,Viaja raramente,809,Pesquisa e Desenvolvimento,16,3,Ciências Médicas,1,14,1,Masculino,84,4,1,Técnico de Laboratório,2,Casado,2426,16479,0,Sim,Não,13,3,3,80,1,6,5,3,5,4,0,3
5,29,Não,Viaja raramente,153,Pesquisa e Desenvolvimento,15,2,Ciências Humanas,1,15,4,Feminino,49,2,2,Técnico de Laboratório,3,Solteiro,4193,12682,0,Sim,Sim,12,3,4,80,0,10,3,3,9,5,0,8
6,31,Não,Viaja raramente,670,Pesquisa e Desenvolvimento,26,1,Ciências Humanas,1,16,1,Masculino,31,3,1,Pesquisador cientista,3,Divorciado,2911,15170,1,Sim,Não,17,3,4,80,1,5,1,2,5,2,4,3
7,34,Não,Viaja raramente,1346,Pesquisa e Desenvolvimento,19,2,Ciências Médicas,1,18,2,Masculino,93,3,1,Técnico de Laboratório,4,Divorciado,2661,8758,0,Sim,Não,11,3,3,80,1,3,2,3,2,2,1,2
8,28,Sim,Viaja raramente,103,Pesquisa e Desenvolvimento,24,3,Ciências Humanas,1,19,3,Masculino,93,2,1,Técnico de Laboratório,3,Solteiro,2028,12947,5,Sim,Sim,14,3,2,80,0,6,4,3,4,2,0,3
9,29,Não,Viaja raramente,1389,Pesquisa e Desenvolvimento,21,4,Ciências Humanas,1,20,2,Feminino,51,4,3,Diretor de manufatura,1,Divorciado,9980,10195,1,Sim,Não,11,3,3,80,1,10,1,3,10,9,8,8
10,22,Não,Não Viaja,1123,Pesquisa e Desenvolvimento,16,2,Ciências Médicas,1,22,4,Masculino,96,4,1,Técnico de Laboratório,4,Divorciado,2935,7324,1,Sim,Sim,13,3,2,80,2,1,2,2,1,0,0,0
