,Idade,Demissão,Viagem de negócios,Diárias recebidas,Departamento,Distância de Casa,Escolaridade,Área de Formação,Número de contratos de trabalho na empresa,ID Funcionário,Nível de Satisfação com o ambiente de trabalho,Gênero,Salário por hora,Nível de envolvimento com o trabalho,Nível hierárquico,Cargo,Satisfação com o trabalho,Estado civil,Renda mensal,Salário Mensal,qtde de empresas que já trabalhou,Maior de idade,Faz hora extra,percentual de aumento de salário,score de performance,Satisfação nas relações Não trabalho,Jornada padrão de trabalho,opção de remaunração variável em ações,Total de anos trabalhados,Qtde de treinamentos realizados no último ano,Equilíbrio vida trabalho,Total de anos trabalhados na empresa,Anos trabalhados na função atual,Anos desde a última promoção,Anos trabalhando com o atual gestor
0,41,Sim,Viaja raramente,1102,Vendas,1,2,Ciências Humanas,1,1,2,Feminino,94,3,2,Executivo de vendas,4,Solteiro,5993,19479,8,Sim,Sim,11,3,1,80,0,8,0,1,6,4,0,5
1,32,Não,Viaja frequentemente,1005,Pesquisa e Desenvolvimento,2,2,Ciências Humanas,1,8,4,Masculino,79,3,1,Técnico de Laboratório,4,Solteiro,3068,11864,0,Sim,Não,13,3,3,80,0,8,2,2,7,7,3,6
2,59,Não,Viaja raramente,1324,Pesquisa e Desenvolvimento,3,3,Ciências Médicas,1,10,3,Feminino,81,4,1,Técnico de Laboratório,1,Casado,2670,9964,4,Sim,Sim,20,4,1,80,3,12,3,2,1,0,0,0
3,36,Não,Viaja raramente,1299,Pesquisa e Desenvolvimento,27,3,Ciências Médicas,1,13,3,Masculino,94,3,2,Reprentante de saúde,3,Casado,5237,16577,6,Sim,Não,13,3,2,80,2,17,3,2,7,7,7,7
4,31,Não,Viaja raramente,670,Pesquisa e Desenvolvimento,26,1,Ciências Humanas,1,16,1,Masculino,31,3,1,Pesquisador cientista,3,Divorciado,2911,15170,1,Sim,Não,17,3,4,80,1,5,1,2,5,2,4,3
5,32,Não,Viaja raramente,334,Pesquisa e Desenvolvimento,5,2,Ciências Humanas,1,21,1,Masculino,80,4,1,Pesquisador cientista,2,Divorciado,3298,15053,0,Sim,Sim,12,3,4,80,2,7,5,2,6,2,0,5
6,22,Não,Não Viaja,1123,Pesquisa e Desenvolvimento,16,2,Ciências Médicas,1,22,4,Masculino,96,4,1,Técnico de Laboratório,4,Divorciado,2935,7324,1,Sim,Sim,13,3,2,80,2,1,2,2,1,0,0,0
7,24,Não,Não Viaja,673,Pesquisa e Desenvolvimento,11,2,Outras,1,26,1,Feminino,96,4,2,Diretor de manufatura,3,Divorciado,4011,8232,0,Sim,Não,18,3,4,80,1,5,5,2,4,2,1,3
8,53,Não,Viaja raramente,1282,Pesquisa e Desenvolvimento,5,3,Outras,1,32,3,Feminino,58,3,5,Gerente,3,Divorciado,19094,10735,4,Sim,Não,11,3,4,80,1,26,3,2,14,13,4,8
9,46,Não,Viaja raramente,705,Vendas,2,4,Marketing,1,38,2,Feminino,83,3,5,Gerente,1,Solteiro,18947,22822,3,Sim,Não,12,3,4,80,0,22,2,2,2,2,2,1
10,24,Sim,Viaja raramente,813,Pesquisa e Desenvolvimento,1,3,Ciências Médicas,1,45,2,Masculino,61,3,1,Pesquisador cientista,4,Casado,2293,3020,2,Sim,Sim,16,3,1,80,1,6,2,2,2,0,2,0
11,43,Não,Viaja raramente,1273,Pesquisa e Desenvolvimento,2,2,Ciências Médicas,1,46,4,Feminino,72,4,1,Pesquisador cientista,3,Divorciado,2645,21923,1,Sim,Não,12,3,4,80,2,6,3,2,5,3,1,4
12,26,Sim,Viaja raramente,1357,Pesquisa e Desenvolvimento,25,3,Ciências Humanas,1,55,1,Masculino,48,1,1,Técnico de Laboratório,3,Solteiro,2293,10558,1,Sim,Não,12,3,3,80,0,1,2,2,1,0,0,1
13,28,Sim,Viaja raramente,1434,Pesquisa e Desenvolvimento,5,4,EnsiNão técnico,1,65,3,Masculino,50,3,1,Técnico de Laboratório,3,Solteiro,3441,11179,1,Sim,Sim,13,3,3,80,0,2,3,2,2,2,2,2
14,44,Não,Viaja raramente,1488,Vendas,1,5,Marketing,1,68,2,Feminino,75,3,2,Executivo de vendas,1,Divorciado,5454,4009,5,Sim,Sim,21,4,3,80,1,9,2,2,4,3,1,3
15,26,Não,Viaja raramente,1443,Vendas,23,3,Marketing,1,72,3,Feminino,47,2,2,Executivo de vendas,4,Casado,4157,21436,7,Sim,Sim,19,3,3,80,1,5,2,2,2,2,0,0
16,35,Não,Viaja frequentemente,853,Vendas,18,5,Ciências Humanas,1,74,2,Masculino,71,3,3,Executivo de vendas,1,Casado,9069,11031,1,Sim,Não,22,4,4,80,1,9,3,2,9,8,1,8
17,31,Não,Viaja raramente,655,Pesquisa e Desenvolvimento,7,4,Ciências Humanas,1,76,4,Masculino,48,3,2,Técnico de Laboratório,4,Divorciado,5915,9528,3,Sim,Não,22,4,4,80,1,10,3,2,7,7,1,7
18,50,Não,Viaja raramente,989,Pesquisa e Desenvolvimento,7,2,Ciências Médicas,1,80,2,Feminino,43,2,5,Diretor de pesquisa,3,Divorciado,18740,16701,5,Sim,Sim,12,3,4,80,1,29,2,2,27,3,13,8
19,59,Não,Viaja raramente,1435,Vendas,25,3,Ciências Humanas,1,81,1,Feminino,99,3,3,Executivo de vendas,1,Solteiro,7637,2354,7,Sim,Não,11,3,4,80,0,28,3,2,21,16,7,9
20,35,Não,Viaja frequentemente,664,Pesquisa e Desenvolvimento,1,3,Ciências Médicas,1,88,2,Masculino,79,3,1,Pesquisador cientista,1,Casado,2194,5868,4,Sim,Não,13,3,4,80,1,5,2,2,3,2,1,2
21,36,Sim,Viaja raramente,318,Pesquisa e Desenvolvimento,9,3,Ciências Médicas,1,90,4,Masculino,79,2,1,Pesquisador cientista,3,Casado,3388,21777,0,Sim,Sim,17,3,1,80,1,2,0,2,1,0,0,0
22,59,Não,Viaja frequentemente,1225,Vendas,1,1,Ciências Humanas,1,91,1,Feminino,57,2,2,Executivo de vendas,3,Solteiro,5473,24668,7,Sim,Não,11,3,4,80,0,20,2,2,4,3,1,3
23,30,Não,Viaja raramente,852,Pesquisa e Desenvolvimento,1,1,Ciências Humanas,1,104,4,Masculino,55,2,2,Técnico de Laboratório,4,Casado,5126,15998,1,Sim,Sim,12,3,3,80,2,10,1,2,10,8,3,0
24,56,Não,Viaja raramente,1400,Pesquisa e Desenvolvimento,7,3,Ciências Humanas,1,112,4,Masculino,49,1,3,Diretor de manufatura,4,Solteiro,7260,21698,4,Sim,Não,11,3,1,80,0,37,3,2,6,4,0,2
25,40,Não,Viaja frequentemente,530,Pesquisa e Desenvolvimento,1,4,Ciências Humanas,1,119,3,Masculino,78,2,4,Reprentante de saúde,2,Casado,13503,14115,1,Sim,Não,22,4,4,80,1,22,3,2,22,3,11,11
