,Idade,Demissão,Viagem de negócios,Diárias recebidas,Departamento,Distância de Casa,Escolaridade,Área de Formação,Número de contratos de trabalho na empresa,ID Funcionário,Nível de Satisfação com o ambiente de trabalho,Gênero,Salário por hora,Nível de envolvimento com o trabalho,Nível hierárquico,Cargo,Satisfação com o trabalho,Estado civil,Renda mensal,Salário Mensal,qtde de empresas que já trabalhou,Maior de idade,Faz hora extra,percentual de aumento de salário,score de performance,Satisfação nas relações Não trabalho,Jornada padrão de trabalho,opção de remaunração variável em ações,Total de anos trabalhados,Qtde de treinamentos realizados no último ano,Equilíbrio vida trabalho,Total de anos trabalhados na empresa,Anos trabalhados na função atual,Anos desde a última promoção,Anos trabalhando com o atual gestor
0,41,Sim,Viaja raramente,1102,Vendas,1,2,Ciências Humanas,1,1,2,Feminino,94,3,2,Executivo de vendas,4,Solteiro,5993,19479,8,Sim,Sim,11,3,1,80,0,8,0,1,6,4,0,5
1,37,Sim,Viaja raramente,1373,Pesquisa e Desenvolvimento,2,2,Outras,1,4,4,Masculino,92,2,1,Técnico de Laboratório,3,Solteiro,2090,2396,6,Sim,Sim,15,3,2,80,0,7,3,3,0,0,0,0
2,27,Não,Viaja raramente,591,Pesquisa e Desenvolvimento,2,1,Ciências Médicas,1,7,1,Masculino,40,3,1,Técnico de Laboratório,2,Casado,3468,16632,9,Sim,Não,12,3,4,80,1,6,3,3,2,2,2,2
3,59,Não,Viaja raramente,1324,Pesquisa e Desenvolvimento,3,3,Ciências Médicas,1,10,3,Feminino,81,4,1,Técnico de Laboratório,1,Casado,2670,9964,4,Sim,Sim,20,4,1,80,3,12,3,2,1,0,0,0
4,36,Não,Viaja raramente,1299,Pesquisa e Desenvolvimento,27,3,Ciências Médicas,1,13,3,Masculino,94,3,2,Reprentante de saúde,3,Casado,5237,16577,6,Sim,Não,13,3,2,80,2,17,3,2,7,7,7,7
5,28,Sim,Viaja raramente,103,Pesquisa e Desenvolvimento,24,3,Ciências Humanas,1,19,3,Masculino,93,2,1,Técnico de Laboratório,3,Solteiro,2028,12947,5,Sim,Sim,14,3,2,80,0,6,4,3,4,2,0,3
6,38,Não,Viaja raramente,371,Pesquisa e Desenvolvimento,2,3,Ciências Humanas,1,24,4,Masculino,45,3,1,Pesquisador cientista,4,Solteiro,3944,4306,5,Sim,Sim,11,3,3,80,0,6,3,3,3,2,1,2
7,36,Sim,Viaja raramente,1218,Vendas,9,4,Ciências Humanas,1,27,3,Masculino,82,2,1,Representante de vendas,1,Solteiro,3407,6986,7,Sim,Não,23,4,2,80,0,10,4,3,5,3,0,3
8,53,Não,Viaja raramente,1282,Pesquisa e Desenvolvimento,5,3,Outras,1,32,3,Feminino,58,3,5,Gerente,3,Divorciado,19094,10735,4,Sim,Não,11,3,4,80,1,26,3,2,14,13,4,8
9,33,Não,Viaja raramente,924,Pesquisa e Desenvolvimento,2,3,Ciências Médicas,1,39,3,Masculino,78,3,1,Técnico de Laboratório,4,Solteiro,2496,6670,4,Sim,Não,11,3,4,80,0,7,3,3,1,1,0,0
10,36,Não,Viaja raramente,852,Pesquisa e Desenvolvimento,5,4,Ciências Humanas,1,51,2,Feminino,82,2,1,Pesquisador cientista,1,Casado,3419,13072,9,Sim,Sim,14,3,4,80,1,6,3,4,1,1,0,0
11,37,Não,Viaja raramente,408,Pesquisa e Desenvolvimento,19,2,Ciências Humanas,1,61,2,Masculino,73,3,1,Pesquisador cientista,2,Casado,3022,10227,4,Sim,Não,21,4,1,80,0,8,1,3,1,0,0,0
12,46,Não,Viaja frequentemente,1211,Vendas,5,4,Marketing,1,62,1,Masculino,98,3,2,Executivo de vendas,4,Solteiro,5772,20445,4,Sim,Sim,21,4,3,80,0,14,4,3,9,6,0,8
13,48,Sim,Viaja raramente,626,Pesquisa e Desenvolvimento,1,2,Ciências Humanas,1,64,1,Masculino,98,2,3,Técnico de Laboratório,3,Solteiro,5381,19294,9,Sim,Sim,13,3,4,80,0,23,2,3,1,0,0,0
14,44,Não,Viaja raramente,1488,Vendas,1,5,Marketing,1,68,2,Feminino,75,3,2,Executivo de vendas,1,Divorciado,5454,4009,5,Sim,Sim,21,4,3,80,1,9,2,2,4,3,1,3
15,26,Não,Viaja raramente,1443,Vendas,23,3,Marketing,1,72,3,Feminino,47,2,2,Executivo de vendas,4,Casado,4157,21436,7,Sim,Sim,19,3,3,80,1,5,2,2,2,2,0,0
16,50,Não,Viaja raramente,989,Pesquisa e Desenvolvimento,7,2,Ciências Médicas,1,80,2,Feminino,43,2,5,Diretor de pesquisa,3,Divorciado,18740,16701,5,Sim,Sim,12,3,4,80,1,29,2,2,27,3,13,8
17,59,Não,Viaja raramente,1435,Vendas,25,3,Ciências Humanas,1,81,1,Feminino,99,3,3,Executivo de vendas,1,Solteiro,7637,2354,7,Sim,Não,11,3,4,80,0,28,3,2,21,16,7,9
18,35,Não,Viaja frequentemente,664,Pesquisa e Desenvolvimento,1,3,Ciências Médicas,1,88,2,Masculino,79,3,1,Pesquisador cientista,1,Casado,2194,5868,4,Sim,Não,13,3,4,80,1,5,2,2,3,2,1,2
19,59,Não,Viaja frequentemente,1225,Vendas,1,1,Ciências Humanas,1,91,1,Feminino,57,2,2,Executivo de vendas,3,Solteiro,5473,24668,7,Sim,Não,11,3,4,80,0,20,2,2,4,3,1,3
20,45,Não,Viaja raramente,193,Pesquisa e Desenvolvimento,6,4,Outras,1,101,4,Masculino,52,3,3,Diretor de pesquisa,1,Casado,13245,15067,4,Sim,Sim,14,3,2,80,0,17,3,4,0,0,0,0
21,37,Não,Viaja raramente,397,Pesquisa e Desenvolvimento,7,4,Ciências Médicas,1,102,1,Masculino,30,3,3,Diretor de pesquisa,3,Solteiro,13664,25258,4,Sim,Não,13,3,1,80,0,16,3,4,5,2,0,2
22,46,Não,Viaja raramente,945,Recursos HumaNãos,5,2,Ciências Médicas,1,103,2,Masculino,80,3,2,Recursos HumaNãos,2,Divorciado,5021,10425,8,Sim,Sim,22,4,4,80,1,16,2,3,4,2,0,2
23,38,Não,Não Viaja,573,Pesquisa e Desenvolvimento,6,3,Ciências Médicas,1,107,2,Feminino,79,1,2,Pesquisador cientista,4,Divorciado,5329,15717,7,Sim,Sim,12,3,4,80,3,17,3,3,13,11,1,9
24,56,Não,Viaja raramente,1400,Pesquisa e Desenvolvimento,7,3,Ciências Humanas,1,112,4,Masculino,49,1,3,Diretor de manufatura,4,Solteiro,7260,21698,4,Sim,Não,11,3,1,80,0,37,3,2,6,4,0,2
